measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Ar 420.069 - A,% Concentration,103.0,103.0,,,107.0,103.0,,,104.0,105.0,,,100.0,102.0,,,105.0,105.0,,,104.0,103.0,,,108.0,105.0,,,110.0,106.0,,,103.0,106.0,,,107.0,107.0,,,109.0,111.0,,,111.0,112.0,,,111.0,111.0,,,112.0,107.0,,,111.0,111.0,,,114.0,120.0,,,113.0,112.0
Sc 361.383 - R,% Concentration,95.0,97.0,,,100.0,100.0,,,95.0,98.0,,,96.0,96.0,,,90.0,95.0,,,102.0,98.0,,,104.0,98.0,,,96.0,100.0,,,96.0,95.0,,,96.0,97.0,,,99.0,98.0,,,99.0,96.0,,,97.0,94.0,,,99.0,97.0,,,91.0,94.0,,,97.0,97.0,,,98.0,98.0
Sc 357.253 - A,% Concentration,99.0,98.0,,,97.0,101.0,,,98.0,97.0,,,101.0,98.0,,,101.0,101.0,,,102.0,103.0,,,100.0,104.0,,,102.0,103.0,,,97.0,96.0,,,95.0,96.0,,,96.0,95.0,,,95.0,92.0,,,97.0,95.0,,,99.0,97.0,,,97.0,98.0,,,96.0,98.0,,,101.0,103.0
Al 396.153 - A,0.0011,0.0054,,0.0054,,,0.0277,0.0277,,0.0386,0.0332,0.0359,0.0038,0.061,0.0351,0.0481,0.0183,0.0486,0.029,0.0388,0.0139,0.0523,0.0611,0.0567,0.0062,0.0633,0.0604,0.0619,0.0021,0.1333,0.1536,0.1435,0.0144,0.1063,0.1222,0.1143,0.0112,0.1085,0.1313,0.1199,0.0161,0.1347,0.1444,0.1396,0.0069,0.1797,0.1806,0.1802,0.0006,0.1111,0.1174,0.1143,0.0045,0.125,0.1476,0.1363,0.016,0.0979,0.1298,0.1139,0.0226,0.1244,0.1273,0.1259,0.0021,0.066,0.0781
As 188.979 - A,0.008,0.0083,,0.0083,,,0.008,0.008,,0.0116,0.008,0.0098,0.0025,0.0089,,0.0089,,0.0189,0.0157,0.0173,0.0023,0.0148,0.0166,0.0157,0.0013,0.0166,0.0152,0.0159,0.001,0.015,0.0195,0.0173,0.0032,0.0522,0.0452,0.0487,0.0049,0.0474,0.0525,0.05,0.0036,0.0269,0.0217,0.0243,0.0037,0.0283,0.0212,0.0248,0.005,0.0215,0.0247,0.0231,0.0023,0.031,0.0293,0.0302,0.0012,0.0172,0.019,0.0181,0.0013,0.0135,0.0291,0.0213,0.011,0.0164,0.012
B 249.677 - R,0.0161,0.0934,0.0623,0.0779,0.022,0.0321,0.0258,0.029,0.0045,0.0256,0.02,0.0228,0.004,0.0212,0.0194,0.0203,0.0013,0.1201,0.0775,0.0988,0.0301,0.1396,0.1014,0.1205,0.027,0.0767,0.0651,0.0709,0.0082,0.0461,0.0415,0.0438,0.0033,0.0587,0.0546,0.0567,0.0029,0.0503,0.0486,0.0495,0.0012,0.1351,0.0965,0.1158,0.0273,0.0757,0.0593,0.0675,0.0116,0.0486,0.0454,0.047,0.0023,0.0407,0.0382,0.0395,0.0018,0.0493,0.0449,0.0471,0.0031,0.1116,0.0867,0.0992,0.0176,0.0551,0.0456
Ba 233.527 - A,0.0003,0.033,0.0341,0.0336,0.0008,0.0343,0.0335,0.0339,0.0006,0.0338,0.0347,0.0343,0.0006,0.033,0.0349,0.034,0.0013,0.0396,0.0393,0.0395,0.0002,0.0391,0.0396,0.0394,0.0004,0.0345,0.0338,0.0342,0.0005,0.0346,0.0341,0.0344,0.0004,0.0053,0.0057,0.0055,0.0003,0.0056,0.0057,0.0057,0.0001,0.0324,0.0317,0.0321,0.0005,0.0332,0.0329,0.0331,0.0002,0.0295,0.0305,0.03,0.0007,0.0302,0.0302,0.0302,0.0,0.0339,0.0342,0.0341,0.0002,0.0351,0.034,0.0346,0.0008,0.0481,0.0472
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,10.5165,10.8528,10.6847,0.2378,10.7848,10.9427,10.8638,0.1117,14.5467,14.7487,14.6477,0.1428,14.6845,14.9302,14.8074,0.1737,18.9487,18.9238,18.9363,0.0176,18.3724,18.6538,18.5131,0.199,29.1458,29.4197,29.2828,0.1937,29.3612,29.4128,29.387,0.0365,389.4469,399.8843,394.6656,7.3804,394.8391,402.6468,398.743,5.5209,119.0191,117.0721,118.0456,1.3767,116.6419,116.8584,116.7502,0.1531,101.6172,104.4775,103.0474,2.0225,105.4571,104.4025,104.9298,0.7457,78.6552,81.4009,80.0281,1.9415,80.4374,79.7652,80.1013,0.4753,45.8161,45.2187
Cd 214.440 - A,0.0006,0.0007,,0.0007,,,,,,0.0012,0.0012,0.0012,0.0,0.0009,0.0013,0.0011,0.0003,0.0017,0.0017,0.0017,0.0,0.0019,0.0017,0.0018,0.0001,0.0028,0.0027,0.0028,0.0001,0.003,0.0029,0.003,0.0001,,,,,,,,,0.0016,0.0019,0.0018,0.0002,0.002,0.0018,0.0019,0.0001,0.0014,0.0018,0.0016,0.0003,0.0016,0.0018,0.0017,0.0001,0.0011,0.0009,0.001,0.0001,0.0013,0.0009,0.0011,0.0003,,
Cu 324.752 - A,0.0057,,,,,,,,,,,,,0.0061,0.0057,0.0059,0.0003,,,,,0.0066,0.0058,0.0062,0.0006,0.0158,0.0161,0.016,0.0002,0.0319,0.0318,0.0319,0.0001,,,,,,,,,0.0118,0.0137,0.0128,0.0013,0.0215,0.0221,0.0218,0.0004,0.008,0.0083,0.0082,0.0002,0.0147,0.0117,0.0132,0.0021,0.0109,0.0087,0.0098,0.0016,0.0119,0.0224,0.0172,0.0074,0.1349,0.1443
