measurement,dl_mg_l,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Ar 420.069 - A,% Concentration,83.0,81.0,,,79.2747,80.2327,,,83.0,84.0,,,87.0,80.0,,,76.0,77.0,,,84.0,86.0,,,74.0,76.0,,,71.0,83.0,77.0,8.4853,81.0,83.0,82.0,1.4142,75.0,81.0,78.0,4.2426,82.0,81.0,,,84.0,84.0,,,83.0,81.0,,,80.0,85.0,,,84.0,80.0
Sc 361.383 - R,% Concentration,94.0,94.0,,,95.3401,95.8851,,,95.0,96.0,,,95.0,96.0,,,95.0,93.0,,,94.0,95.0,,,89.0,89.0,,,88.0,90.0,89.0,1.4142,93.0,93.0,93.0,0.0,94.0,93.0,93.5,0.7071,94.0,96.0,,,94.0,91.0,,,93.0,93.0,,,94.0,92.0,,,93.0,94.0
Sc 357.253 - A,% Concentration,95.0,92.0,,,92.7489,92.6546,,,92.0,91.0,,,92.0,91.0,,,90.0,91.0,,,91.0,92.0,,,80.0,83.0,,,81.0,84.0,82.5,2.1213,88.0,89.0,88.5,0.7071,87.0,89.0,88.0,1.4142,87.0,89.0,,,88.0,88.0,,,89.0,88.0,,,88.0,89.0,,,91.0,91.0
Al 396.153 - A,0.0011,0.0426,0.0337,0.0382,0.0063,0.0487,0.0484,0.0486,0.0002,0.038,0.0414,0.0397,0.0024,0.082,0.056,0.069,0.0184,0.0688,0.0692,0.069,0.0003,0.1562,0.1547,0.1555,0.0011,0.0224,0.023,0.0227,0.0004,0.0354,0.0318,0.0336,0.0025,0.0525,0.0508,0.0517,0.0012,0.1092,0.1042,0.1067,0.0035,0.0285,0.0297,0.0291,0.0008,0.0519,0.0522,0.0521,0.0002,0.0284,0.0318,0.0301,0.0024,0.0742,0.0793,0.0768,0.0036,0.0069,0.0048
As 188.979 - A,0.0080,,,,,,,,,,,,,,,,,,0.0091,0.0091,,0.0129,0.0099,0.0114,0.0021,0.0343,0.0358,0.0351,0.0011,0.0388,0.0278,0.0333,0.0078,0.0128,0.0094,0.0111,0.0024,0.0157,0.0146,0.0152,0.0008,0.0164,0.0154,0.0159,0.0007,0.0179,0.0144,0.0162,0.0025,0.017,0.0103,0.0137,0.0047,0.0107,0.0136,0.0122,0.0021,0.0093,0.0093
B 249.677 - R,0.0161,0.0525,0.0337,0.0431,0.0133,0.0196,,0.0196,,,,,,,,,,,,,,0.0951,0.0586,0.0769,0.0258,0.0632,0.0506,0.0569,0.0089,0.0436,0.035,0.0393,0.0061,0.0209,0.0166,0.0188,0.003,,,,,0.1019,0.0629,0.0824,0.0276,0.0465,0.0371,0.0418,0.0066,0.0469,0.043,0.045,0.0028,0.04,0.0397,0.0399,0.0002,,
Ba 233.527 - A,0.0003,0.0324,0.0327,0.0326,0.0002,0.0362,0.0334,0.0348,0.002,0.033,0.0335,0.0333,0.0004,0.0347,0.0339,0.0343,0.0006,0.0336,0.0332,0.0334,0.0003,0.0336,0.0334,0.0335,0.0001,0.0052,0.0047,0.005,0.0004,0.0047,0.0046,0.0047,0.0001,0.0276,0.0277,0.0277,0.0001,0.0284,0.0278,0.0281,0.0004,0.034,0.0333,0.0337,0.0005,0.0338,0.0343,0.0341,0.0004,0.0323,0.0327,0.0325,0.0003,0.0332,0.033,0.0331,0.0001,0.0313,0.0312
Be 313.107 - R,0.0002,,,,,,,,,,,,,,,,,,,,,0.0002,,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,13.0687,12.7911,12.9299,0.1963,12.472,12.6531,12.5626,0.1281,15.8264,16.2078,16.0171,0.2697,16.4018,16.0718,16.2368,0.2333,25.1094,25.5303,25.3199,0.2976,26.2032,26.6813,26.4423,0.3381,368.0188,358.4077,363.2133,6.7961,376.3851,340.1745,358.2798,25.6048,101.8338,102.6849,102.2594,0.6018,99.9249,102.8241,101.3745,2.05,92.789,90.1518,91.4704,1.8648,92.2684,93.9311,93.0998,1.1757,61.6113,62.1727,61.892,0.397,62.3535,64.602,63.4778,1.5899,25.9192,25.4881
Cd 214.440 - A,0.0006,0.0009,,0.0009,,0.0007,0.0009,0.0008,0.0002,,,,,,,,,0.0018,0.0018,0.0018,0.0,0.0023,0.0023,0.0023,0.0,,,,,,,,,0.0011,0.001,0.0011,0.0001,0.0013,0.0011,0.0012,0.0001,0.0008,0.0007,0.0008,0.0001,0.0008,0.0008,0.0008,0.0,,,,,,,,,,
