measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Cu 324.752 - A,0.0057,,,,,,,,,,,,,,,,,0.0061339,,0.0061339,,0.033805,0.0215925,0.0276987,0.0086355,0.0153686,0.0142928,0.0148307,0.0007607,0.0354784,0.0341155,0.034797,0.0009637,,,,,,,,,0.0136057,0.0094107,0.0115082,0.0029663,0.0249219,0.0227938,0.0238578,0.0015048,,,,,,,,,,,,,,,,,,
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008071,0.0007841,0.0007956,1.62e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe 238.204 - A,0.0016,0.0053551,0.0023705,0.0038628,0.0021104,0.0430241,0.0453586,0.0441914,0.0016507,0.0195542,0.0181421,0.0188482,0.0009985,0.0829762,0.0655719,0.0742741,0.0123067,0.0343159,0.0400951,0.0372055,0.0040865,0.1503484,0.1525699,0.1514592,0.0015708,0.0138582,0.0211975,0.0175279,0.0051896,0.1909041,0.1961415,0.1935228,0.0037034,,,,,0.3587609,0.3318348,0.3452978,0.0190397,0.0029627,0.0076379,0.0053003,0.0033059,0.1678104,0.1551299,0.1614701,0.0089665,0.0025572,0.0019484,0.0022528,0.0004305,0.1360424,0.1310262,0.1335343,0.003547,,0.0024864,0.0024864,,0.1640272,0.1866595,0.1753433,0.0160035,,
K 766.490 - R,0.1081,1.1010984,1.1056869,1.1033927,0.0032445,1.1637083,1.0669155,1.1153119,0.0684429,1.302917,1.3207236,1.3118203,0.0125911,1.3552257,1.5299671,1.4425964,0.1235608,1.5382232,1.6608698,1.5995465,0.0867242,1.7566303,1.6205014,1.6885659,0.0962577,2.0392141,2.1187465,2.0789803,0.0562379,1.9880755,1.8983351,1.9432053,0.063456,9.0061615,8.4666321,8.7363968,0.3815049,8.8261115,8.7405653,8.7833384,0.0604903,2.6921357,2.6925433,2.6923395,0.0002882,2.616543,2.6221228,2.6193329,0.0039455,2.6126525,2.6349166,2.6237846,0.0157432,2.7584438,2.5625906,2.6605172,0.1384892,4.2117027,4.1001858,4.1559443,0.0788544,4.3368989,4.4027664,4.3698327,0.0465753,,
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0280735,0.0263589,0.0272162,0.0012124,0.0262136,0.0252931,0.0257534,0.0006509,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg 285.213 - R,0.0044,3.008984,3.0694593,3.0392216,0.0427625,3.0434372,3.0468887,3.045163,0.0024405,3.5731748,3.584484,3.5788294,0.0079968,3.6517981,3.5886507,3.6202244,0.044652,4.7462407,4.6992701,4.7227554,0.0332132,4.72756,4.7909197,4.7592399,0.0448021,6.3612649,6.4847319,6.4229984,0.0873044,6.3724581,6.5013167,6.4368874,0.0911168,66.8476947,65.2201211,66.0339079,1.1508684,66.7710956,65.5390366,66.1550661,0.8711973,12.3237621,12.3638158,12.343789,0.0283222,12.4266047,12.4930911,12.4598479,0.0470129,12.2918035,12.3050507,12.2984271,0.0093672,12.4192351,12.3080022,12.3636186,0.0786535,15.9319464,15.9688694,15.9504079,0.0261085,15.9303033,16.1152004,16.0227519,0.130742,,
Mg 279.077 - R,0.0203,2.9898368,3.0515713,3.0207041,0.0436529,3.0786366,3.0514997,3.0650682,0.0191888,3.4900655,3.5446084,3.5173369,0.0385677,3.621454,3.5371035,3.5792788,0.0596448,4.7484134,4.6394142,4.6939138,0.0770741,4.573843,4.6766905,4.6252668,0.0727242,6.2617635,6.5457561,6.4037598,0.2008131,6.3317714,6.5911452,6.4614583,0.183405,63.6767457,62.1276504,62.902198,1.0953758,61.9770439,64.6699028,63.3234733,1.9041388,12.2666007,12.1553205,12.2109606,0.078687,12.6143815,12.6608522,12.6376169,0.0328597,12.2697182,12.5245513,12.3971348,0.1801942,12.6289738,12.8835227,12.7562483,0.1799933,16.2102113,16.5055205,16.3578659,0.2088151,16.037677,16.3160807,16.1768788,0.1968612,,
Mn 257.610 - A,0.0002,0.0027292,0.0018305,0.0022798,0.0006354,0.0033894,0.0034877,0.0034385,6.95e-05,0.0714749,0.072627,0.072051,0.0008147,0.0769612,0.0729335,0.0749474,0.002848,0.1514153,0.1475043,0.1494598,0.0027655,0.1541392,0.1518129,0.152976,0.0016449,0.6077864,0.6035051,0.6056458,0.0030273,0.6219279,0.6194812,0.6207045,0.0017301,0.0416575,0.0417172,0.0416874,4.22e-05,0.1329408,0.1173617,0.1251513,0.0110161,0.5143918,0.52904,0.5217159,0.0103578,0.5374938,0.5268664,0.5321801,0.0075147,0.316737,0.3210733,0.3189051,0.0030662,0.332095,0.3238404,0.3279677,0.0058368,0.1412774,0.1406678,0.1409726,0.000431,0.1518244,0.1555585,0.1536915,0.0026404,,
Mo 202.031 - A,0.0012,0.0013484,,0.0013484,,,,,,,,,,,,,,,,,,0.0014275,,0.0014275,,,,,,,,,,,,,,0.0013107,,0.0013107,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na 589.592 - R,0.0193,5.7507078,5.7389282,5.744818,0.0083294,5.5383391,5.4650603,5.5016997,0.0518159,6.4402485,6.6339179,6.5370832,0.1369449,6.5729822,6.5489741,6.5609781,0.0169763,13.0798288,12.9536089,13.0167188,0.0892509,12.8011555,12.6941665,12.747661,0.0756527,19.3670122,19.8344148,19.6007135,0.3305036,19.9218927,19.4989407,19.7104167,0.2990722,35.1192844,33.3105102,34.2148973,1.2789965,33.821779,32.0748545,32.9483167,1.2352622,22.3037504,21.9004813,22.1021159,0.2851544,22.1120641,21.8499435,21.9810038,0.1853472,22.3425623,23.1425915,22.7425769,0.5657061,23.4261753,21.9042838,22.6652295,1.0761397,30.3872743,29.863108,30.1251911,0.3706416,29.8498788,29.4626764,29.6562776,0.2737934,,
Ni 231.604 - A,0.0015,0.0014545,,0.0014545,,,,,,,,,,,,,,0.0016364,0.0016564,0.0016464,1.42e-05,,0.0019076,0.0019076,,0.0057221,0.0059319,0.005827,0.0001483,0.0056401,0.0058542,0.0057471,0.0001514,,,,,,,,,0.005781,0.0052455,0.0055133,0.0003786,0.0051306,0.0047106,0.0049206,0.000297,0.0039106,0.0043555,0.004133,0.0003146,0.004079,0.0038747,0.0039768,0.0001445,0.0024485,0.0022415,0.002345,0.0001464,0.0033663,0.0025512,0.0029587,0.0005763,,
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.0050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005694,,0.005694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S 181.975 - A,0.0148,4.5744007,4.5188912,4.5466459,0.0392511,4.5681201,4.3578774,4.4629987,0.1486641,6.7867744,6.8187157,6.8027451,0.0225859,6.9593976,6.7763535,6.8678755,0.1294317,10.0730261,9.8361695,9.9545978,0.1674829,9.9662351,9.857019,9.9116271,0.0772275,16.5492444,16.3788693,16.4640569,0.1204734,16.6304314,15.9396935,16.2850624,0.4884254,472.2011638,471.9806242,472.090894,0.155945,471.1859289,485.3986413,478.2922851,10.0499053,60.2653621,61.9529009,61.1091315,1.1932701,61.6861897,59.8009011,60.7435454,1.3331004,55.8898568,56.6019136,56.2458852,0.5035001,57.6858556,56.6884058,57.1871307,0.7053035,61.2968826,61.3354059,61.3161442,0.0272401,59.9949595,60.4024217,60.1986906,0.2881193,,
S 180.669 - A,0.0072,4.9076526,4.8515252,4.8795889,0.0396881,4.928302,4.6839884,4.8061452,0.1727558,7.2292125,7.2555209,7.2423667,0.0186028,7.382663,7.2110905,7.2968767,0.1213201,10.6897846,10.4280815,10.558933,0.185052,10.5548361,10.4967483,10.5257922,0.0410742,17.2671963,17.1506782,17.2089373,0.0823907,17.3241279,16.4404909,16.8823094,0.6248257,455.5794559,454.035892,454.807674,1.0914645,456.6350158,468.7535252,462.6942705,8.5690802,61.3107753,63.6592343,62.4850048,1.6606112,63.0571779,61.7667555,62.4119667,0.9124664,57.7373386,58.6871026,58.2122206,0.6715846,60.0838849,58.6658122,59.3748486,1.0027288,62.9107151,63.4953801,63.2030476,0.4134206,61.9763493,61.8199088,61.8981291,0.1106201,,
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Si 251.611 - A,0.1031,4.8834383,4.7847676,4.834103,0.0697707,5.0123873,4.6688647,4.840626,0.2429072,4.5906727,4.5480073,4.56934,0.030169,4.6068374,4.684827,4.6458322,0.0551469,4.7472454,4.5804969,4.6638711,0.117909,4.6635129,4.644214,4.6538634,0.0136464,5.1671118,5.0637987,5.1154553,0.0730534,5.0580544,5.0117608,5.0349076,0.0327345,0.9138715,0.919787,0.9168293,0.0041829,0.9479553,0.9608911,0.9544232,0.009147,4.9363225,5.0820314,5.0091769,0.1030317,5.0556092,4.8956554,4.9756323,0.1131044,5.1225825,5.1919201,5.1572513,0.0490291,5.3622476,5.2423303,5.302289,0.0847943,5.2365388,5.3768772,5.306708,0.0992342,5.3074298,5.3052696,5.3063497,0.0015275,,
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.1085979,0.1058519,0.1072249,0.0019417,0.1084704,0.0982625,0.1033664,0.0072181,0.1059313,0.1036921,0.1048117,0.0015833,0.1064025,0.1038812,0.1051418,0.0017828,0.1412445,0.1303527,0.1357986,0.0077017,0.1327411,0.1338723,0.1333067,0.0007998,0.2228965,0.2037657,0.2133311,0.0135276,0.2013838,0.2117975,0.2065906,0.0073636,3.4337947,3.2088383,3.3213165,0.1590682,3.3061308,3.3381362,3.3221335,0.0226313,0.4695463,0.5042156,0.486881,0.0245149,0.4883666,0.4489343,0.4686505,0.0278828,0.4540194,0.4521458,0.4530826,0.0013248,0.5269063,0.488662,0.5077842,0.0270428,0.5113418,0.5629971,0.5371695,0.0365258,0.5000657,0.5261715,0.5131186,0.0184596,,
Ti 334.940 - A,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,0.0006388,,0.0006388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0023,0.003845,0.0031982,0.0035216,0.0004573,0.0036227,0.0037916,0.0037072,0.0001194,0.2021716,0.2045183,0.2033449,0.0016593,0.2150728,0.2065295,0.2108012,0.006041,0.3141338,0.3042987,0.3092163,0.0069545,0.3255649,0.3212781,0.3234215,0.0030312,0.4889686,0.4853935,0.4871811,0.0025279,0.5130273,0.5086693,0.5108483,0.0030815,0.0108478,0.0108461,0.0108469,1.2e-06,0.0224863,0.0223734,0.0224299,7.98e-05,0.441908,0.4545075,0.4482078,0.0089092,0.4705527,0.4592204,0.4648866,0.0080132,0.372949,0.378981,0.375965,0.0042653,0.4006979,0.3915428,0.3961203,0.0064737,0.2864196,0.2833051,0.2848624,0.0022023,0.3055057,0.301838,0.3036719,0.0025934,,
Zn 206.200 - A,0.0023,0.0038007,0.0029454,0.0033731,0.0006048,0.0033477,0.0038204,0.003584,0.0003343,0.2107534,0.2128764,0.2118149,0.0015012,0.2225413,0.216342,0.2194417,0.0043836,0.3259582,0.3177005,0.3218293,0.005839,0.3407478,0.3378456,0.3392967,0.0020522,0.4791141,0.4875889,0.4833515,0.0059926,0.5050598,0.5060512,0.5055555,0.000701,0.007269,0.0074128,0.0073409,0.0001016,0.0185292,0.0179914,0.0182603,0.0003803,0.4368964,0.4546048,0.4457506,0.0125217,0.4709559,0.4554328,0.4631943,0.0109765,0.399532,0.4021655,0.4008488,0.0018621,0.4223892,0.4149705,0.4186799,0.0052458,0.2979231,0.2949937,0.2964584,0.0020714,0.3137656,0.3117976,0.3127816,0.0013916,,
