measurement,dl_mg_l,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Mg 285.213 - R,0.0044,3.761,3.8966,3.8288,0.0959,3.7903,3.8279,3.8091,0.0266,8.0087,8.2309,8.1198,0.1571,8.1692,8.2881,8.2287,0.0841,5.1186,5.1371,5.1279,0.0131,5.1838,5.2184,5.2011,0.0245,78.2221,79.7758,78.999,1.0986,78.8799,77.9631,78.4215,0.6483,24.6762,24.3729,24.5246,0.2145,24.1603,24.3121,24.2362,0.1073,22.7773,23.0467,22.912,0.1905,22.7581,22.6323,22.6952,0.089,16.9709,16.8025,16.8867,0.1191,16.3646,16.7937,16.5792,0.3034,3.84,
Mg 279.077 - R,0.0203,3.7255,3.7803,3.7529,0.0387,3.7337,3.6621,3.6979,0.0506,8.2482,8.1355,8.1919,0.0797,8.1246,7.9956,8.0601,0.0912,4.874,5.0545,4.9643,0.1276,5.0202,5.0649,5.0426,0.0316,72.7342,73.4091,73.0717,0.4772,72.8241,72.0093,72.4167,0.5762,23.7908,24.4839,24.1374,0.4901,23.7794,24.3361,24.0578,0.3936,22.4585,22.62,22.5393,0.1142,22.8646,22.2444,22.5545,0.4385,16.2031,16.8364,16.5198,0.4478,16.5934,16.6722,16.6328,0.0557,3.6523,
Mn 257.610 - A,0.0002,0.1199,0.1208,0.1204,0.0006,0.1192,0.1217,0.1205,0.0018,0.6395,0.5885,0.614,0.0361,0.613,0.6163,0.6147,0.0023,0.2223,0.2256,0.224,0.0023,0.2301,0.2338,0.232,0.0026,0.5863,0.595,0.5907,0.0062,0.5965,0.6087,0.6026,0.0086,0.606,0.6132,0.6096,0.0051,0.6225,0.6178,0.6202,0.0033,0.5855,0.5926,0.5891,0.005,0.5971,0.5819,0.5895,0.0107,0.2489,0.245,0.247,0.0028,0.2499,0.257,0.2535,0.005,0.003,
Mo 202.031 - A,0.0012,0.0013,0.0018,0.0016,0.0004,0.0015,0.0018,0.0017,0.0002,0.0019,0.0018,0.0019,0.0001,0.0016,0.0033,0.0025,0.0012,0.0025,0.0025,0.0025,0.0,0.0023,0.0019,0.0021,0.0003,0.0028,0.0035,0.0032,0.0005,0.0034,0.0038,0.0036,0.0003,0.0019,0.0025,0.0022,0.0004,0.0033,0.0028,0.0031,0.0004,0.0029,0.0022,0.0026,0.0005,0.0022,0.0018,0.002,0.0003,0.0021,0.0024,0.0023,0.0002,0.0031,0.004,0.0036,0.0006,0.0021,
Na 589.592 - R,0.0193,7.0641,7.8466,7.4554,0.5533,7.4308,7.7448,7.5878,0.222,25.1062,26.5709,25.8386,1.0357,26.6188,27.7043,27.1616,0.7676,10.4302,10.2753,10.3528,0.1095,10.9651,10.7795,10.8723,0.1312,39.8584,42.715,41.2867,2.0199,40.7544,41.7827,41.2686,0.7271,27.4983,26.7679,27.1331,0.5165,26.036,26.2328,26.1344,0.1392,26.7044,27.1498,26.9271,0.3149,27.038,26.1279,26.583,0.6435,37.8094,37.265,37.5372,0.3849,34.3493,35.6405,34.9949,0.913,14.5098,
Ni 231.604 - A,0.0015,,,,,,,,,0.0046,0.0044,0.0045,0.0001,0.0054,0.0056,0.0055,0.0001,0.0021,0.0027,0.0024,0.0004,0.0025,0.0028,0.0027,0.0002,,,,,,,,,0.004,0.0047,0.0044,0.0005,0.0039,0.0052,0.0046,0.0009,0.0065,0.0061,0.0063,0.0003,0.0057,0.0061,0.0059,0.0003,0.0025,0.0031,0.0028,0.0004,0.002,0.0026,0.0023,0.0004,0.0019,
P 213.617 - A,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P 177.434 - A,0.0231,,,,,,,,,,,,,,,,,,,,,,0.0239,0.0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pb 220.353 - A,0.005,,,,,,,,,,,,,0.0068,0.0103,0.0086,0.0025,,,,,,,,,,,,,,,,,,,,,0.0072,,0.0072,,,,,,0.005,0.0057,0.0054,0.0005,,,,,,0.0081,0.0081,,0.0067,
S 181.975 - A,0.0148,6.2759,6.1408,6.2084,0.0955,6.2226,6.3135,6.2681,0.0643,21.491,21.8644,21.6777,0.264,21.3504,21.1818,21.2661,0.1192,9.4596,9.6094,9.5345,0.1059,9.5555,9.6953,9.6254,0.0989,497.949,506.0747,502.0119,5.7457,495.3197,500.9625,498.1411,3.9901,127.1144,128.0076,127.561,0.6316,126.9013,126.7548,126.8281,0.1036,114.1029,115.0212,114.5621,0.6493,116.5026,111.8745,114.1886,3.2726,36.6071,36.1787,36.3929,0.3029,34.6799,35.9836,35.3318,0.9219,18.0874,0.0194
S 180.669 - A,0.0072,6.7051,6.5701,6.6376,0.0955,6.6754,6.7437,6.7096,0.0483,21.6127,21.7899,21.7013,0.1253,21.3089,21.1789,21.2439,0.0919,10.0766,10.2015,10.1391,0.0883,10.1899,10.342,10.266,0.1076,459.0506,460.5137,459.7822,1.0346,452.194,454.4961,453.3451,1.6278,130.1502,130.2267,130.1885,0.0541,128.1388,128.8112,128.475,0.4755,114.937,116.654,115.7955,1.2141,119.1037,113.8474,116.4756,3.7168,38.0604,37.5857,37.8231,0.3357,36.253,37.3081,36.7806,0.7461,18.9559,0.0174
Sb 217.582 - A,0.0037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Se 196.026 - A,0.0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,
Si 251.611 - A,0.0266,6.0232,5.9363,5.9798,0.0614,6.0187,6.0524,6.0356,0.0238,6.7267,6.8242,6.7755,0.0689,6.4264,6.5814,6.5039,0.1096,6.235,6.2446,6.2398,0.0068,6.3862,6.4916,6.4389,0.0745,1.1082,1.1264,1.1173,0.0129,1.1133,1.1297,1.1215,0.0116,5.471,5.4637,5.4674,0.0052,5.5782,5.5536,5.5659,0.0174,5.7214,5.8319,5.7767,0.0781,5.9806,5.7323,5.8565,0.1756,6.7039,6.4437,6.5738,0.184,6.6717,6.5868,6.6293,0.06,2.8984,
Sn 189.927 - A,0.0054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sr 460.733 - A,0.0003,0.0726,0.0711,0.0719,0.0011,0.0782,0.0755,0.0769,0.0019,0.1512,0.1444,0.1478,0.0048,0.1366,0.1439,0.1403,0.0052,0.0899,0.0884,0.0892,0.0011,0.0867,0.0875,0.0871,0.0006,2.2114,2.1272,2.1693,0.0595,2.0669,2.3185,2.1927,0.1779,0.5783,0.5492,0.5638,0.0206,0.5533,0.5724,0.5629,0.0135,0.5077,0.5113,0.5095,0.0025,0.5218,0.4875,0.5047,0.0243,0.227,0.201,0.214,0.0184,0.2255,0.2109,0.2182,0.0103,0.0966,
Ti 334.940 - A,0.0001,,,,,,,,,,,,,0.0008,0.0007,0.0008,0.0001,,,,,0.0024,0.0024,0.0024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001
Tl 190.801 - A,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V 292.402 - A,0.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zn 213.857 - A,0.0041,0.2316,0.2345,0.2331,0.0021,0.2338,0.2402,0.237,0.0045,0.4499,0.4509,0.4504,0.0007,0.5322,0.5252,0.5287,0.0049,0.3952,0.3949,0.3951,0.0002,0.445,0.4549,0.45,0.007,0.0113,0.0115,0.0114,0.0001,0.0139,0.0141,0.014,0.0001,0.4144,0.4209,0.4177,0.0046,0.4651,0.4638,0.4645,0.0009,0.5022,0.5112,0.5067,0.0064,0.5333,0.5121,0.5227,0.015,0.1953,0.1973,0.1963,0.0014,0.2187,0.2296,0.2242,0.0077,0.0725,
