measurement,dl_mg_l,ref1_fa1,ref1_fa2,ref1_avg_1,ref1_stdev_1,ref1_ra1,ref1_ra2,ref1_avg_2,ref1_stdev_2,ref2_fa1,ref2_fa2,ref2_avg_1,ref2_stdev_1,ref2_ra1,ref2_ra2,ref2_avg_2,ref2_stdev_2,ant_fa1,ant_fa2,ant_avg_1,ant_stdev_1,ant_ra1,ant_ra2,ant_avg_2,ant_stdev_2,rap_fa1,rap_fa2,rap_avg_1,rap_stdev_1,rap_ra1,rap_ra2,rap_avg_2,rap_stdev_2,tp_fa1,tp_fa2,tp_avg_1,tp_stdev_1,tp_ra1,tp_ra2,tp_avg_2,tp_stdev_2,rbp_fa1,rbp_fa2,rbp_avg_1,rbp_stdev_1,rbp_ra1,rbp_ra2,rbp_avg_2,rbp_stdev_2,arg_fa1,arg_fa2,arg_avg_1,arg_stdev_1,arg_ra1,arg_ra2,arg_avg_2,arg_stdev_2,usgs_fa1,usgs_fa2,usgs_avg_1,usgs_stdev_1,usgs_ra1,usgs_ra2,usgs_avg_2,usgs_stdev_2,blank_fa,blank_ra
Ar 420.069 - A,% Concentration,94.0,90.0,,,89.0,89.0,,,86.0,87.0,,,89.0,86.0,,,81.0,94.0,,,81.0,80.0,,,84.0,83.0,,,85.0,87.0,,,76.0,73.0,,,78.0,75.0,,,75.0,74.0,,,68.0,70.0,,,75.0,75.0,,,67.0,74.0,,,79.0,74.0,,,80.0,79.0,,,75.0,75.0
Sc 361.383 - R,% Concentration,97.0,97.0,,,97.0,97.0,,,97.0,98.0,,,95.0,97.0,,,96.0,94.0,,,95.0,95.0,,,96.0,94.0,,,93.0,96.0,,,89.0,91.0,,,90.0,92.0,,,93.0,90.0,,,94.0,94.0,,,96.0,94.0,,,98.0,93.0,,,96.0,96.0,,,92.0,93.0,,,96.0,96.0
Sc 357.253 - A,% Concentration,94.0,91.0,,,94.0,93.0,,,92.0,92.0,,,92.0,92.0,,,88.0,92.0,,,89.0,90.0,,,88.0,88.0,,,89.0,89.0,,,82.0,83.0,,,83.0,84.0,,,86.0,86.0,,,85.0,85.0,,,88.0,88.0,,,87.0,88.0,,,88.0,86.0,,,89.0,87.0,,,90.0,94.0
Al 396.153 - A,0.0011,0.0043,0.0113,0.0078,0.0049,0.02,0.0196,0.0198,0.0003,0.0277,0.0321,0.0299,0.0031,0.0687,0.0643,0.0665,0.0031,0.0431,0.0438,0.0435,0.0005,0.3888,0.3764,0.3826,0.0088,0.0489,0.0424,0.0457,0.0046,0.7358,0.7472,0.7415,0.0081,0.0109,0.0083,0.0096,0.0018,0.0279,0.0282,0.0281,0.0002,0.0464,0.0477,0.0471,0.0009,0.6294,0.6434,0.6364,0.0099,0.0263,0.0255,0.0259,0.0006,0.2641,0.2567,0.2604,0.0052,0.0251,0.0259,0.0255,0.0006,0.1182,0.0985,0.1084,0.0139,0.0137,0.0048
As 188.979 - A,0.008,0.0118,0.0089,0.0104,0.0021,0.0099,0.0129,0.0114,0.0021,0.0122,,0.0122,,,0.0117,0.0117,,,,,,0.0109,,0.0109,,0.0147,0.0138,0.0143,0.0006,0.0119,0.0136,0.0128,0.0012,0.0331,0.0396,0.0364,0.0046,0.0404,0.0323,0.0364,0.0057,0.0161,0.0244,0.0203,0.0059,0.0288,0.0208,0.0248,0.0057,0.0256,0.0155,0.0206,0.0071,0.0199,0.0201,0.02,0.0001,0.0154,0.0134,0.0144,0.0014,0.0235,0.0164,0.02,0.005,0.0179,0.0113
B 249.677 - R,0.0161,0.1471,0.104,0.1256,0.0305,0.084,0.0644,0.0742,0.0139,0.0434,0.0298,0.0366,0.0096,0.0207,0.0181,0.0194,0.0018,0.0194,0.0167,0.0181,0.0019,0.0562,0.0308,0.0435,0.018,0.0301,0.0261,0.0281,0.0028,0.0217,0.0211,0.0214,0.0004,0.0452,0.0421,0.0437,0.0022,0.0407,0.0374,0.0391,0.0023,0.0788,0.0527,0.0658,0.0185,0.0384,0.0329,0.0357,0.0039,0.0241,0.0247,0.0244,0.0004,0.0217,0.0225,0.0221,0.0006,0.0391,0.0377,0.0384,0.001,0.0944,0.0622,0.0783,0.0228,0.0189,
Ba 233.527 - A,0.0003,0.0348,0.0355,0.0352,0.0005,0.0344,0.0347,0.0346,0.0002,0.0351,0.0353,0.0352,0.0001,0.0366,0.0358,0.0362,0.0006,0.0389,0.0374,0.0382,0.0011,0.0399,0.0395,0.0397,0.0003,0.036,0.0363,0.0362,0.0002,0.0376,0.0373,0.0375,0.0002,0.0048,0.0045,0.0047,0.0002,0.0046,0.0045,0.0046,0.0001,0.0286,0.0289,0.0288,0.0002,0.03,0.0303,0.0302,0.0002,0.0292,0.0296,0.0294,0.0003,0.0305,0.0303,0.0304,0.0001,0.0298,0.0305,0.0302,0.0005,0.0329,0.0308,0.0319,0.0015,0.0264,0.0254
Be 313.107 - R,0.0002,0.0003,,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ca 317.933 - A,0.0254,12.1574,11.9152,12.0363,0.1713,12.0821,11.8004,11.9413,0.1992,15.6074,15.5447,15.5761,0.0443,16.7146,15.8383,16.2765,0.6196,21.6493,23.3696,22.5095,1.2164,21.9782,21.6718,21.825,0.2167,33.6484,33.5503,33.5994,0.0694,34.4539,34.4272,34.4406,0.0189,335.9796,329.4996,332.7396,4.5821,320.5058,317.2435,318.8747,2.3068,103.7706,101.2222,102.4964,1.802,98.4143,101.6792,100.0468,2.3086,74.0402,72.8789,73.4596,0.8212,69.1786,72.4853,70.832,2.3382,53.73,52.2062,52.9681,1.0775,54.242,53.3061,53.7741,0.6618,22.165,21.7387
Cd 214.440 - A,0.0006,,,,,,,,,0.0011,0.0009,0.001,0.0001,0.0012,0.0012,0.0012,0.0,0.0019,0.0028,0.0024,0.0006,0.0026,0.0026,0.0026,0.0,0.0035,0.0039,0.0037,0.0003,0.0046,0.0042,0.0044,0.0003,,,,,,,,,0.0032,0.0028,0.003,0.0003,0.0032,0.003,0.0031,0.0001,0.002,0.0021,0.0021,0.0001,0.002,0.0022,0.0021,0.0001,0.0015,0.0011,0.0013,0.0003,0.0016,0.001,0.0013,0.0004,,
Cu 324.752,0.0057,0.0117,0.0091,0.0104,0.0018,,,,,0.01,0.0101,0.0101,0.0001,0.0125,0.0122,0.0124,0.0002,0.0231,0.0218,0.0225,0.0009,0.0753,0.072,0.0737,0.0023,0.0408,0.0395,0.0402,0.0009,0.1356,0.1355,0.1356,0.0001,,,,,,,,,0.0398,0.0399,0.0399,0.0001,0.1145,0.1158,0.1152,0.0009,0.0196,0.0196,0.0196,0.0,0.0512,0.0492,0.0502,0.0014,0.0167,0.0175,0.0171,0.0006,0.0271,0.0231,0.0251,0.0028,0.1078,0.1043
Cr 205.560 - A,0.0007,,,,,,,,,,,,,,,,,,,,,0.0007,,0.0007,,,,,,,0.0008,0.0008,,0.0009,,0.0009,,,,,,,0.0008,0.0008,,0.0012,,0.0012,,,,,,,,,,,,,,0.0014,,0.0014,,,
Fe 238.204 - A,0.0016,0.0071,0.008,0.0076,0.0006,0.0426,0.0395,0.0411,0.0022,0.027,0.0485,0.0378,0.0152,0.2145,0.2041,0.2093,0.0074,0.0375,0.0412,0.0394,0.0026,0.6592,0.6493,0.6543,0.007,0.0062,0.002,0.0041,0.003,0.6087,0.6188,0.6138,0.0071,0.0037,,0.0037,,0.6846,0.6884,0.6865,0.0027,0.0236,0.2825,0.1531,0.1831,0.5964,0.6379,0.6172,0.0293,0.0071,0.006,0.0066,0.0008,0.3498,0.3573,0.3536,0.0053,0.0062,0.0061,0.0062,0.0001,0.1855,0.1377,0.1616,0.0338,0.0107,0.0036
K 766.490 - R,0.1081,1.6531,1.5146,1.5839,0.0979,1.6993,1.849,1.7742,0.1059,2.0997,2.0993,2.0995,0.0003,1.9047,1.8968,1.9008,0.0056,2.446,2.6435,2.5448,0.1397,2.5127,2.5924,2.5526,0.0564,3.9102,3.9821,3.9462,0.0508,4.0575,3.9166,3.9871,0.0996,10.0295,10.9214,10.4755,0.6307,11.3472,10.0618,10.7045,0.9089,7.0644,6.2954,6.6799,0.5438,6.541,6.8444,6.6927,0.2145,4.7314,5.2292,4.9803,0.352,4.7616,4.8471,4.8044,0.0605,8.4277,8.3129,8.3703,0.0812,8.8505,8.8039,8.8272,0.033,3.0181,3.0111
Li 670.784 - R,0.0049,,,,,,,,,,,,,,,,,0.0051,0.0053,0.0052,0.0001,0.0055,0.0059,0.0057,0.0003,0.0085,0.009,0.0088,0.0004,0.0083,0.008,0.0082,0.0002,0.037,0.0416,0.0393,0.0033,0.0426,0.0376,0.0401,0.0035,0.0186,0.0181,0.0184,0.0004,0.0174,0.0185,0.018,0.0008,0.0107,0.0113,0.011,0.0004,0.0108,0.0116,0.0112,0.0006,0.01,0.0112,0.0106,0.0008,0.0121,0.0115,0.0118,0.0004,0.0138,0.0136
