ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF1,,,,,,,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,,CHASE GULCH,National Tunnel,ABOVE SMITH HILL,BELOW SMITH HILL
Analyte Name,DL (mg/l),FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA,RA,RA,RA,RA,RA
Ar 420.069 - A,% Concentration,97.42257796,96.26250436,,,93.43956678,95.84159637,,,95.88173055,100.4213911,,,96.20050235,96.35020038,,,95.46896269,94.92466383,,,98.52389439,97.55463057,,,94.00249033,95.26285623,,,94.51842269,94.80968699,,,94.35730138,96.92693214,,,87.30587825,100.4034392,,,99.95279859,98.93442631,,,96.89352225,95.33883231,,,98.61650665,96.32545222,,,99.97345603,98.30666634,,,94.94263766,101.3154153,,,100.7075652,97.95000486,,,100.4151441,100.9572342,98.17314993,92.45200368,94.99467754,95.41824777
Sc 361.383 - R,% Concentration,94.71060366,101.3039092,,,98.42660715,100.9281886,,,101.0281805,102.6569082,,,100.4204063,100.2839409,,,103.9901838,101.1071444,,,108.0797024,103.9927688,,,105.5912356,101.8785684,,,103.2702164,107.6187472,,,93.14381956,94.88762616,,,96.87076362,96.58776391,,,102.7893622,100.1905116,,,100.1398981,99.20296607,,,106.4312438,100.1213323,,,95.47252194,101.4182638,,,101.3498893,97.73777832,,,99.22623838,102.5244987,,,100.8761293,104.5356662,105.2436135,95.67046911,101.8811918,103.1056991
Sc 357.253 - A,% Concentration,96.72859516,95.75504937,,,96.42111016,98.74697678,,,99.57306968,95.28254051,,,97.63764805,98.56836336,,,98.40396699,98.71485305,,,95.35213018,99.54705233,,,100.5955708,102.0115466,,,98.48381359,99.53108966,,,92.09441299,89.68389021,,,93.36871088,89.0707319,,,95.89426272,97.72517398,,,98.76244466,98.87374775,,,98.96769009,103.7360673,,,98.28492984,100.0479046,,,100.1887337,94.99304617,,,97.10938659,98.76586136,,,106.0470375,99.72623871,103.0780685,92.85591215,104.0632024,100.7696728
Al 396.153 - A,0.0011,BDL,BDL,,,0.012499906,0.01249569,0.0125,0.0000,0.014333417,0.016721521,0.0155,0.0017,0.040380886,0.040690229,0.0405,0.0002,0.015911764,0.015575026,0.0157,0.0002,0.037117271,0.037460346,0.0373,0.0002,0.029266427,0.031805223,0.0305,0.0018,0.068875246,0.063208311,0.0660,0.0040,BDL,BDL,,,BDL,BDL,,,0.018237157,0.018889397,0.0186,0.0005,0.047446655,0.046865153,0.0472,0.0004,0.003768071,0.003895481,0.0038,0.0001,0.025111403,0.030175862,0.0276,0.0036,BDL,BDL,,,0.066380069,0.06324681,0.0648,0.0022,BDL,BDL,0.051596277,55.14691448,0.039384451,0.032442634
As 188.979 - A,0.008,BDL,BDL,,,BDL,BDL,,,0.00892494,BDL,0.0089,,BDL,BDL,,,BDL,0.009950404,0.0100,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.029085414,0.030720707,0.0299,0.0012,0.033803971,0.033642136,0.0337,0.0001,0.012287555,0.010999338,0.0116,0.0009,0.013795435,0.018747111,0.0163,0.0035,0.009369241,BDL,0.0094,,0.01336998,0.013825887,0.0136,0.0003,0.013375668,0.008878977,0.0111,0.0032,0.013914029,0.01298853,0.0135,0.0007,BDL,BDL,0.008930172,0.067908809,0.008036987,0.014979625
B 249.677 - R,0.0161,BDL,BDL,,,0.027335621,BDL,0.0273,,BDL,BDL,,,BDL,BDL,,,0.039185404,0.02112359,0.0302,0.0128,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,0.041841172,0.102878498,0.0724,0.0432,0.033926588,0.031952646,0.0329,0.0014,0.049245711,0.039371851,0.0443,0.0070,0.115142032,0.074421871,0.0948,0.0288,0.0290502,0.02707697,0.0281,0.0014,0.035863279,0.030891891,0.0334,0.0035,0.053896604,0.044731771,0.0493,0.0065,0.035408021,0.036429166,0.0359,0.0007,BDL,BDL,0.016226116,0.091783012,0.021339819,0.016488145
Ba 233.527 - A,0.0003,0.024432552,0.024812679,0.0246,0.0003,0.024354403,0.024204024,0.0243,0.0001,0.02470047,0.026408189,0.0256,0.0012,0.026105402,0.025277112,0.0257,0.0006,0.02477439,0.024066328,0.0244,0.0005,0.02570438,0.024542286,0.0251,0.0008,0.021913804,0.021573381,0.0217,0.0002,0.023328778,0.022877197,0.0231,0.0003,0.001308302,0.00132497,0.0013,0.0000,0.002389542,0.001991826,0.0022,0.0003,0.021504614,0.020925204,0.0212,0.0004,0.021204083,0.020795787,0.0210,0.0003,0.022098969,0.02128879,0.0217,0.0006,0.023297948,0.021951681,0.0226,0.0010,0.023814023,0.025529965,0.0247,0.0012,0.026065478,0.025268733,0.0257,0.0006,BDL,BDL,0.023800045,BDL,0.015832309,0.01623714
Be 313.107 - R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,BDL,0.010460026,BDL,BDL
