ICP-AES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,REF2,,,,,,,,ANT,,,,,,,,RAP,,,,,,,,TP,,,,,,,,RBP,,,,,,,,ARG,,,,,,,,USGS,,,,,,,,BLANK,
Analyte Name,DL (mg/l),RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,RA1,RA2,AVG,STDEV,FA1,FA2,AVG,STDEV,FA,RA
Al 396.153 - A,0.0205,0.4044,0.3883,0.3964,0.0114,0.0272,0.0264,0.0268,0.0006,0.4014,0.3648,0.3831,0.0259,0.025,0.0252,0.0251,0.0001,0.425,0.4607,0.4429,0.0252,0.046,0.0423,0.0442,0.0026,BDL,BDL,,,BDL,,,,0.3869,0.3911,0.3890,0.0030,0.0329,0.0347,0.0338,0.0013,0.5013,0.4632,0.4823,0.0269,BDL,BDL,,,1.503,1.5241,1.5136,0.0149,0.0312,0.0333,0.0323,0.0015,BDL,BDL
As 188.979 - A,0.0047,BDL,BDL,,,BDL,0.0072,0.0072,,0.0066,0.0064,0.0065,0.0001,BDL,BDL,,,BDL,0.0119,0.0119,,BDL,BDL,,,0.0426,0.0427,0.0427,0.0001,0.0408,,,,0.0106,0.0095,0.0101,0.0008,0.0128,0.0133,0.0131,0.0004,0.0053,0.0081,0.0067,0.0020,0.0074,0.0103,0.0089,0.0021,0.016,0.013,0.0145,0.0021,0.0095,0.009,0.0093,0.0004,0.0068,BDL
B 249.677 - R,0.0459,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Ba 233.527 - A,0.0001,0.0415,0.0402,0.0409,0.0009,0.0316,0.031,0.0313,0.0004,0.0407,0.039,0.0399,0.0012,0.0329,0.0334,0.0332,0.0004,0.038,0.0397,0.0389,0.0012,0.0314,0.0299,0.0307,0.0011,0.0072,0.0068,0.0070,0.0003,0.0066,,,,0.0338,0.0334,0.0336,0.0003,0.0304,0.0306,0.0305,0.0001,0.0397,0.0391,0.0394,0.0004,0.0318,0.0334,0.0326,0.0011,0.0471,0.0489,0.0480,0.0013,0.0298,0.0294,0.0296,0.0003,0.025,0.0249
Be 313.107 - R,0.0002,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL,,,BDL,BDL
Ca 317.933 - A,0.0064,11.3966,11.5807,11.4887,0.1302,11.2391,11.2352,11.2372,0.0028,14.8717,15.3475,15.1096,0.3364,15.0208,14.8966,14.9587,0.0878,18.6189,19.0467,18.8328,0.3025,18.7676,18.6765,18.7221,0.0644,401.9738,392.8294,397.4016,6.4661,399.6756,,,,70.4721,69.4265,69.9493,0.7394,70.8446,69.9451,70.3949,0.6360,30.7196,30.4155,30.5676,0.2150,30.2624,30.1831,30.2228,0.0561,31.4497,32.0397,31.7447,0.4172,31.0459,31.3834,31.2147,0.2386,16.5163,16.864
Cd 214.440 - A,0.0001,0.0006,0.0005,0.0006,0.0001,0.0004,0.0008,0.0006,0.0003,0.002,0.0025,0.0023,0.0004,0.0018,0.0016,0.0017,0.0001,0.0027,0.002,0.0024,0.0005,0.0018,0.0024,0.0021,0.0004,BDL,BDL,,,BDL,,,,0.0024,0.0025,0.0025,0.0001,0.0015,0.0019,0.0017,0.0003,0.0027,0.0024,0.0026,0.0002,0.0016,0.0007,0.0012,0.0006,0.0045,0.0042,0.0044,0.0002,BDL,0.0002,0.0002,,0.0004,0.0003
Co 228.616 - A,0.0002,0.0008,0.0008,0.0008,0.0000,0.0004,0.0006,0.0005,0.0001,0.0015,0.001,0.0013,0.0004,0.0005,0.0005,0.0005,0.0000,0.0018,0.0011,0.0015,0.0005,0.0013,0.0016,0.0015,0.0002,0.001,0.0017,0.0014,0.0005,0.0011,,,,0.002,0.0022,0.0021,0.0001,0.0014,0.0011,0.0013,0.0002,0.004,0.0037,0.0039,0.0002,0.0034,0.003,0.0032,0.0003,0.0044,0.0049,0.0047,0.0004,0.0018,0.0024,0.0021,0.0004,0.0004,0.0009
